Filter Name,Insert Throughput (Mops),Query Throughput (Mops),AAE,ARE
CMSketch (d = 4),11.457,12.8759,955.924,436.02
CMSketch (d = 2),23.9216,26.9146,562.626,256.42
CUSketch (d = 4),14.5388,15.8635,532.594,248.032
CUSketch (d = 2),28.2278,29.9655,393.902,182.832
