Filter Name,Insert Throughput (Mops/s),Query Throughput (Mops/s),AAE,ARE,Total Packets,Total Flows
CMSketch (d = 4),11.4046,11.5767,2333.08,1064.67,32163023,1155323
CMSketch (d = 2),21.0256,21.9059,1330.5,607.137,32163023,1155323
CUSketch (d = 4),10.1095,11.5987,1289,594.799,32163023,1155323
CUSketch (d = 2),19.5283,21.7463,923.238,425.567,32163023,1155323
