Sketch Name,Insert Throughput (Mops),Query Throughput (Mops),Recall,Precision,F1 Score,AAE,ARE
MVSketch,7.47733,9.87895,0.606414,0.182296,0.280323,2691.75,0.499659
Elastic,14.0914,15.4105,0.81827,0.798104,0.808061,767.311,0.120731
CocoSketch,16.0002,19.5912,0.895044,0.18073,0.300735,638.672,0.129346
TightSketch,8.20347,12.339,0.94655,1,0.972541,57.4281,0.010858
StableSketch,9.29039,12.4816,0.708455,1,0.829352,149.765,0.0149592
MomentumSketch,9.17722,12.3643,0.966958,1,0.983202,52.8101,0.00909428
TwoStage,18.9397,15.9266,0.996113,0.943831,0.969267,72.0556,0.014561
