Sketch Name,Insert Throughput (Mops),Query Throughput (Mops),Recall,Precision,F1 Score,AAE,ARE
MVSketch,7.4835,10.4612,0.289602,0.213467,0.245773,12777.2,1.83491
Elastic,13.6563,18.7652,0.439261,0.749585,0.553922,2481.87,0.29308
CocoSketch,15.8755,20.1238,0.595724,0.208503,0.308894,3187.66,0.590265
TightSketch,7.98274,12.3739,0.712342,1,0.832009,317.745,0.0502297
StableSketch,9.0875,12.4296,0.571429,1,0.727273,86.4507,0.0117526
MomentumSketch,8.80472,12.4232,0.778426,1,0.87541,208.905,0.0346773
TwoStage,16.3117,13.5145,0.731778,0.925061,0.817146,296.154,0.0490685
