Sketch Name,Insert Throughput (Mops),Query Throughput (Mops),Recall,Precision,F1 Score,AAE,ARE
MVSketch,7.43826,11.1068,0.151603,0.223816,0.180765,32946.4,4.08974
Elastic,14.0195,21.5179,0.244898,0.773006,0.371956,5602.03,0.582063
CocoSketch,15.4676,21.6095,0.387755,0.271429,0.319328,9853.13,1.56017
TightSketch,7.91443,12.217,0.431487,1,0.602851,879.608,0.102893
StableSketch,8.80922,12.5684,0.430515,1,0.601902,117.521,0.012111
MomentumSketch,8.5554,12.0926,0.480078,1,0.64872,664.63,0.0833757
TwoStage,11.8239,9.85059,0.285714,0.942308,0.438479,1139.29,0.105457
