Sketch Name,Insert Throughput (Mops),Query Throughput (Mops),Recall,Precision,F1 Score,AAE,ARE
MVSketch,7.54242,9.86275,0.510204,0.192661,0.279702,4021.69,0.69573
Elastic,14.0658,18.6012,0.727891,0.795117,0.76002,1055.83,0.153044
CocoSketch,15.2108,19.8291,0.846453,0.148255,0.252317,982.209,0.196596
TightSketch,7.92837,12.1307,0.908649,1,0.952138,90.2021,0.0164391
StableSketch,9.06805,12.0726,0.680272,1,0.809717,134.686,0.0124519
MomentumSketch,9.03195,11.8014,0.939747,1,0.968938,71.5564,0.0129425
TwoStage,18.6256,15.5878,0.983479,0.924201,0.952919,86.8508,0.0171256
