Sketch Name,Insert Throughput (Mops),Query Throughput (Mops),Recall,Precision,F1 Score,AAE,ARE
MVSketch,7.70254,10.5761,0.432459,0.216019,0.288119,6523.11,1.04707
Elastic,14.4862,17.851,0.599611,0.773183,0.675424,1531.35,0.211904
CocoSketch,16.0297,20.8493,0.757046,0.176644,0.28645,1598.64,0.312564
TightSketch,8.12745,12.6056,0.836735,1,0.911111,151.098,0.0271621
StableSketch,9.08022,12.1436,0.635569,1,0.777184,184.362,0.0114393
MomentumSketch,8.99231,11.8957,0.890185,1,0.941902,137.253,0.0192103
TwoStage,17.528,14.1413,0.924198,0.909178,0.916627,154.27,0.0300622
